fecha,departamento,municipio,nombre_cultivo,periodo,area_sembrada,area_cosechada,produccion_ton,rendimiento_t_ha,ciclo
2019,Casanare,Sabanalarga,Platano,2019,47.0,47.0,611.0,13.0,Permanente
2019,Casanare,Sabanalarga,Sacha inchi,2019,11.0,1.0,3.0,2.5,Permanente
2019,Casanare,Sabanalarga,Tomate,2019A,1.0,1.0,40.0,40.0,Transitorio
2019,Casanare,Sabanalarga,Tomate,2019B,1.0,1.0,40.0,40.0,Transitorio
2019,Casanare,Sabanalarga,Yuca,2019,42.0,42.0,672.0,16.0,Anual
2019,Casanare,Sacama,Aguacate,2019,22.0,2.0,16.0,8.0,Permanente
2019,Casanare,Sacama,Cafe,2019,119.0,60.0,90.0,1.5,Permanente
2019,Casanare,Sacama,Citricos,2019,3.0,3.0,12.0,4.0,Permanente
2019,Casanare,Sacama,Lulo,2019,10.0,8.0,64.0,8.0,Permanente
2019,Casanare,Sacama,Maiz tradicional,2019A,16.0,16.0,16.0,1.0,Transitorio
2019,Casanare,Sacama,Maiz tradicional,2019B,5.0,5.0,5.0,1.0,Transitorio
2019,Casanare,Sacama,Maracuya,2019,1.0,1.0,7.0,7.0,Permanente
2019,Casanare,Sacama,Mora,2019,5.0,5.0,5.0,1.0,Permanente
2019,Casanare,Sacama,Sabila,2019,1.0,1.0,1.0,1.0,Permanente
2019,Casanare,Sacama,Sacha inchi,2019,1.0,1.0,2.0,1.5,Permanente
2019,Casanare,Sacama,Yuca,2019,4.0,4.0,20.0,5.0,Anual
2019,Casanare,San luis de palenque,Arroz mecanizado,2019A,16492.0,16492.0,,5.6,Transitorio
2019,Casanare,San luis de palenque,Arroz mecanizado,2019B,378.0,378.0,,5.83,Transitorio
2019,Casanare,San luis de palenque,Cacao,2019,13.0,13.0,8.0,0.6,Permanente
2019,Casanare,San luis de palenque,Caña miel,2019,5.0,2.0,11.0,5.5,Permanente
2019,Casanare,San luis de palenque,Maiz tradicional,2019A,271.0,271.0,611.0,2.25,Transitorio
2019,Casanare,San luis de palenque,Maiz tradicional,2019B,187.0,187.0,421.0,2.25,Transitorio
2019,Casanare,San luis de palenque,Maracuya,2019,8.0,7.0,84.0,12.0,Permanente
2019,Casanare,San luis de palenque,Palma de aceite,2019,284.0,165.0,606.0,3.68,Permanente
2019,Casanare,San luis de palenque,Platano,2019,110.0,73.0,,16.5,Permanente
2019,Casanare,San luis de palenque,Yuca,2019,53.0,53.0,689.0,13.0,Anual
2019,Casanare,Tamara,Aguacate,2019,36.0,31.0,310.0,10.0,Permanente
2019,Casanare,Tamara,Arracacha,2019,23.0,23.0,230.0,10.0,Anual
2019,Casanare,Tamara,Banano,2019,285.0,235.0,,27.0,Permanente
2019,Casanare,Tamara,Cacao,2019,65.0,65.0,26.0,0.4,Permanente
2019,Casanare,Tamara,Cafe,2019,2504.0,2439.0,,0.7,Permanente
2019,Casanare,Tamara,Caña miel,2019,183.0,163.0,326.0,2.0,Permanente
2019,Casanare,Tamara,Caña panelera,2019,5.0,5.0,15.0,3.0,Permanente
2019,Casanare,Tamara,Citricos,2019,21.0,18.0,180.0,10.0,Permanente
2019,Casanare,Tamara,Maiz tradicional,2019A,50.0,49.0,98.0,2.0,Transitorio
2019,Casanare,Tamara,Platano,2019,52.0,47.0,376.0,8.0,Permanente
2019,Casanare,Tamara,Yuca,2019,30.0,30.0,360.0,12.0,Anual
2019,Casanare,Tauramena,Arroz mecanizado,2019A,11.09,11.09,,5.6,Transitorio
2019,Casanare,Tauramena,Arroz mecanizado,2019B,1884.0,1884.0,,5.83,Transitorio
2019,Casanare,Tauramena,Cacao,2019,201.0,157.0,94.0,0.6,Permanente
2019,Casanare,Tauramena,Cafe,2019,60.0,40.0,40.0,1.0,Permanente
2019,Casanare,Tauramena,Caña miel,2019,25.0,25.0,125.0,5.0,Permanente
2019,Casanare,Tauramena,Citricos,2019,23.0,23.0,1.09,47.39,Permanente
2019,Casanare,Tauramena,Maiz tecnificado,2019A,4.0,4.0,20.0,5.0,Transitorio
2019,Casanare,Tauramena,Maiz tecnificado,2019B,9.0,9.0,45.0,5.0,Transitorio
2019,Casanare,Tauramena,Maiz tradicional,2019A,4.0,4.0,7.0,1.75,Transitorio
2019,Casanare,Tauramena,Maiz tradicional,2019B,9.0,9.0,16.0,1.75,Transitorio
2019,Casanare,Tauramena,Maracuya,2019,7.0,7.0,175.0,25.0,Permanente
2019,Casanare,Tauramena,Palma de aceite,2019,10184.0,7789.0,,3.68,Permanente
2019,Casanare,Tauramena,Papaya,2019,8.0,8.0,225.0,30.0,Permanente
2019,Casanare,Tauramena,Piña,2019,315.0,275.0,22.0,80.0,Permanente
2019,Casanare,Tauramena,Platano,2019,20.0,20.0,560.0,28.0,Permanente
2019,Casanare,Tauramena,Yuca,2019,50.0,50.0,800.0,16.0,Anual
2019,Casanare,Trinidad,Arroz mecanizado,2019A,13606.0,13606.0,,5.6,Transitorio
2019,Casanare,Trinidad,Arroz mecanizado,2019B,56.0,56.0,329.0,5.83,Transitorio
2019,Casanare,Trinidad,Maracuya,2019,3.0,3.0,75.0,25.0,Permanente
2019,Casanare,Trinidad,Platano,2019,325.0,325.0,,13.0,Permanente
2019,Casanare,Trinidad,Yuca,2019,80.0,80.0,720.0,9.0,Anual
2019,Casanare,Villanueva,Arroz mecanizado,2019A,4001.0,4001.0,,5.6,Transitorio
2019,Casanare,Villanueva,Arroz mecanizado,2019B,7508.0,7508.0,,5.83,Transitorio
2019,Casanare,Villanueva,Cacao,2019,227.0,87.0,44.0,0.5,Permanente
2019,Casanare,Villanueva,Caucho,2019,50.0,40.0,32.0,0.8,Permanente
2019,Casanare,Villanueva,Maiz tradicional,2019A,120.0,120.0,252.0,2.1,Transitorio
2019,Casanare,Villanueva,Maiz tradicional,2019B,108.0,108.0,227.0,2.1,Transitorio
2019,Casanare,Villanueva,Maracuya,2019,8.0,6.0,240.0,40.0,Permanente
2019,Casanare,Villanueva,Palma de aceite,2019,13943.0,10.78,,3.68,Permanente
2019,Casanare,Villanueva,Papaya,2019,115.0,95.0,3.8,40.0,Permanente
2019,Casanare,Villanueva,Piña,2019,16.0,6.0,360.0,60.0,Permanente
2019,Casanare,Villanueva,Platano,2019,450.0,400.0,12.0,30.0,Permanente
2019,Casanare,Villanueva,Soya,2019B,150.0,150.0,300.0,2.0,Transitorio
2019,Casanare,Villanueva,Yuca,2019,180.0,180.0,2.88,16.0,Anual
2019,Casanare,Yopal,Arroz mecanizado,2019A,10361.0,10361.0,,5.6,Transitorio
2019,Casanare,Yopal,Cacao,2019,163.0,137.0,82.0,0.6,Permanente
2019,Casanare,Yopal,Cafe,2019,65.0,65.0,65.0,1.0,Permanente
2019,Casanare,Yopal,Caña miel,2019,22.0,22.0,88.0,4.0,Permanente
2019,Casanare,Yopal,Caña panelera,2019,3.0,3.0,12.0,4.0,Permanente
2019,Casanare,Yopal,Caucho,2019,16.0,16.0,19.0,1.2,Permanente
2019,Casanare,Yopal,Citricos,2019,78.0,78.0,390.0,5.0,Permanente
2019,Casanare,Yopal,Maiz forrajero,2019A,300.0,300.0,2.1,7.0,Transitorio
2019,Casanare,Yopal,Maiz forrajero,2019B,280.0,280.0,1.96,7.0,Transitorio
2019,Casanare,Yopal,Maiz tecnificado,2019A,150.0,150.0,600.0,4.0,Transitorio
2019,Casanare,Yopal,Maiz tecnificado,2019B,161.0,161.0,644.0,4.0,Transitorio
2019,Casanare,Yopal,Maiz tradicional,2019A,100.0,100.0,105.0,1.05,Transitorio
2019,Casanare,Yopal,Maiz tradicional,2019B,80.0,80.0,84.0,1.05,Transitorio
2019,Casanare,Yopal,Maracuya,2019,19.0,19.0,342.0,18.0,Permanente
2019,Casanare,Yopal,Melon,2019A,60.0,60.0,360.0,6.0,Transitorio
2019,Casanare,Yopal,Melon,2019B,40.0,40.0,240.0,6.0,Transitorio
2019,Casanare,Yopal,Palma de aceite,2019,792.0,660.0,,3.24,Permanente
2019,Casanare,Yopal,Papaya,2019,50.0,50.0,1.1,22.0,Permanente
2019,Casanare,Yopal,Patilla,2019A,120.0,120.0,3.0,25.0,Transitorio
2019,Casanare,Yopal,Patilla,2019B,90.0,90.0,2.25,25.0,Transitorio
2019,Casanare,Yopal,Piña,2019,62.0,62.0,,42.0,Permanente
2019,Casanare,Yopal,Platano,2019,300.0,300.0,9.6,32.0,Permanente
